stock_code,windcode,windcode_rule,company_name,company_display,list_date,list_year,performance_class,is_unprofitable_proxy,day1_return,day5_return,page_count,likely_scanned,pdf_filename,pdf_path_relative,sample_reason
02263,2263.HK,strip_zero,富石金融,富石金融,2020-01-31,2020,暴跌,False,-0.2857142857142857,-0.3750000000000001,530,False,02263_31-01-2020_富石金融_股份發售.pdf,dataset/2020/02263_31-01-2020_富石金融_股份發售.pdf,年份覆盖:2020
09929,9929.HK,strip_zero,澳達控股,澳達控股,2020-01-31,2020,暴跌,False,-0.2272727272727273,-0.2909090909090909,472,False,09929_31-01-2020_澳達控股_股份發售.pdf,dataset/2020/09929_31-01-2020_澳達控股_股份發售.pdf,年份覆盖:2020
06668,6668.HK,strip_zero,星盛商業,星盛商業,2021-01-14,2021,破发/走弱,False,-0.09090909090909098,-0.09545454545454553,594,False,06668_14-01-2021_星盛商業_全球發售.pdf,dataset/2021/06668_14-01-2021_星盛商業_全球發售.pdf,年份覆盖:2021
01024,1024.HK,strip_zero,快手－Ｗ,快手－Ｗ,2021-01-26,2021,平稳,False,-0.1124260355029586,0.19230769230769232,848,False,01024_26-01-2021_快手－Ｗ_全球發售.pdf,dataset/2021/01024_26-01-2021_快手－Ｗ_全球發售.pdf,年份覆盖:2021
02121,2121.HK,strip_zero,創新奇智,創新奇智,2022-01-17,2022,暴跌,False,-0.2547528517110266,-0.34372623574144484,546,False,02121_17-01-2022_創新奇智_全球發售.pdf,dataset/2022/02121_17-01-2022_創新奇智_全球發售.pdf,年份覆盖:2022
01406,1406.HK,strip_zero,清晰醫療,清晰醫療,2022-01-31,2022,破发/走弱,False,-0.031446540880503165,-0.09433962264150952,482,False,01406_31-01-2022_清晰醫療_全球發售.pdf,dataset/2022/01406_31-01-2022_清晰醫療_全球發售.pdf,年份覆盖:2022
02482,2482.HK,strip_zero,維天運通,維天運通,2023-02-27,2023,平稳,False,0.010676156583629824,0.017793594306049758,709,False,02482_27-02-2023_維天運通_全球發售.pdf,dataset/2023/02482_27-02-2023_維天運通_全球發售.pdf,年份覆盖:2023
09636,9636.HK,strip_zero,九方財富,九方財富,2023-02-28,2023,平稳,False,0.007050528789659283,-0.009400705052878974,632,True,09636_28-02-2023_九方財富_全球發售.pdf,dataset/2023/09636_28-02-2023_九方財富_全球發售.pdf,年份覆盖:2023
02535,2535.HK,strip_zero,泓基集團,泓基集團,2024-02-29,2024,平稳,False,-0.09230769230769237,-0.015384615384615398,530,False,02535_29-02-2024_泓基集團_股份發售.pdf,dataset/2024/02535_29-02-2024_泓基集團_股份發售.pdf,年份覆盖:2024
02540,2540.HK,strip_zero,樂思集團,樂思集團,2024-02-29,2024,暴涨,False,0.6666666666666666,2.255555555555556,513,True,02540_29-02-2024_樂思集團_全球發售.pdf,dataset/2024/02540_29-02-2024_樂思集團_全球發售.pdf,年份覆盖:2024
